Name,Position,Height,Weight,Season,Age,Games_Played,Game_Started,Rush_Attempts,Rush_Yards,Rush_TDs,Fumbles,Targets,Receptions,Rec_Yards,Rec_TDs,Pass_Completions,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions,Sacked
49,"
Shaun Alexander
",RB,5-11,225lb,2003,26,1,1,20,45,3,0,3,1,1,0,0,0,0,0,0,0
50,"
Shaun Alexander
",RB,5-11,225lb,2004,27,1,1,15,40,0,0,1,1,25,0,0,0,0,0,0,0
51,"
Shaun Alexander
",RB,5-11,225lb,2005,28,3,3,60,236,2,1,6,3,2,0,0,0,0,0,0,0
52,"
Shaun Alexander
",RB,5-11,225lb,2006,29,2,2,50,177,2,0,3,1,12,0,0,0,0,0,0,0
53,"
Shaun Alexander
",RB,5-11,225lb,2007,30,2,2,24,66,1,0,4,4,12,0,0,0,0,0,0,0
54,"
Rich Alexis
",RB,6-0,213lb,2005,24,2,0,,,0,0,,,,0,0,0,0,0,0,0
55,"
Rich Alexis
",RB,6-0,213lb,2006,25,1,0,3,5,0,0,,,,0,0,0,0,0,0,0
56,"
Rich Alexis
",RB,6-0,213lb,2007,26,1,0,,,0,,,,,0,0,0,0,0,0,0
57,"
Anthony Allen
",RB,6-0,223lb,2011,23,5,0,3,8,0,0,,,,0,0,0,0,0,0,0
58,"
Anthony Allen
",RB,6-0,223lb,2012,24,16,0,16,61,1,0,4,2,12,0,0,0,0,0,0,0
59,"
Armando Allen
",RB,5-10,205lb,2011,22,2,0,15,48,0,0,1,0,0,0,0,0,0,0,0,0
60,"
Armando Allen
",RB,5-10,205lb,2012,23,15,0,27,124,1,0,3,2,16,0,0,0,0,0,0,0
61,"
James Allen
",RB,5-10,212lb,1998,23,6,2,58,270,1,1,14,8,77,1,0,0,0,0,0,0
62,"
James Allen
",RB,5-10,212lb,1999,24,12,3,32,119,0,0,11,9,91,0,0,0,0,0,0,0
63,"
James Allen
",RB,5-10,212lb,2000,25,16,15,290,1120,2,5,60,39,291,1,0,0,0,0,0,0
64,"
James Allen
",RB,5-10,212lb,2001,26,16,7,135,469,1,1,43,30,203,1,0,0,0,0,0,0
65,"
James Allen
",RB,5-10,212lb,2002,27,16,5,155,519,0,1,57,47,302,0,0,0,0,0,0,0
66,"
James Allen
",RB,5-10,212lb,2001,26,1,0,2,7,0,0,3,1,9,0,0,0,0,0,0,0
67,"
Javorius Allen
",RB,6-0,218lb,2015,24,16,6,137,514,1,2,62,45,353,2,0,0,0,0,0,0
68,"
Javorius Allen
",RB,6-0,218lb,2016,25,8,0,9,34,0,0,4,3,15,0,0,0,0,0,0,0
69,"
Javorius Allen
",RB,6-0,218lb,2017,26,16,0,153,591,4,0,60,46,250,2,0,0,0,0,0,0
70,"
Javorius Allen
",RB,6-0,218lb,2018,27,14,0,41,110,3,1,43,35,196,2,0,0,0,0,0,0
71,"
Javorius Allen
",RB,6-0,218lb,2019,28,10,0,10,36,1,0,2,1,9,0,0,0,0,0,0,0
72,"
Javorius Allen
",RB,6-0,218lb,2018,27,1,0,,,0,0,,,,0,0,0,0,0,0,0
73,"
Mike Alstott
",FB,6-1,248lb,1996,23,16,16,96,377,3,4,81,65,557,3,0,0,0,0,0,0
74,"
Mike Alstott
",FB,6-1,248lb,1997,24,15,15,176,665,7,5,33,23,178,3,0,0,0,0,0,0
75,"
Mike Alstott
",FB,6-1,248lb,1998,25,16,16,215,846,8,5,30,22,152,1,0,0,0,0,0,0
76,"
Mike Alstott
",FB,6-1,248lb,1999,26,16,16,242,949,7,6,33,27,239,2,0,0,0,0,0,0
77,"
Mike Alstott
",FB,6-1,248lb,2000,27,13,13,131,465,5,3,19,13,93,0,0,0,0,0,0,0
78,"
Mike Alstott
",FB,6-1,248lb,2001,28,16,16,165,680,10,2,50,35,231,1,0,0,0,0,0,0
79,"
Mike Alstott
",FB,6-1,248lb,2002,29,16,9,146,548,5,4,48,35,242,2,0,0,0,0,0,0
80,"
Mike Alstott
",FB,6-1,248lb,2003,30,4,3,27,77,2,0,12,10,83,0,0,0,0,0,0,0
81,"
Mike Alstott
",FB,6-1,248lb,2004,31,14,11,67,230,2,2,41,29,202,0,0,0,0,0,0,0
82,"
Mike Alstott
",FB,6-1,248lb,2005,32,16,7,34,80,6,0,38,25,222,1,0,0,0,0,0,0
83,"
Mike Alstott
",FB,6-1,248lb,2006,33,16,15,60,171,3,1,38,21,85,0,0,0,0,0,0,0
84,"
Mike Alstott
",FB,6-1,248lb,1997,24,2,2,18,89,2,0,1,1,12,0,0,0,0,0,0,0
85,"
Mike Alstott
",FB,6-1,248lb,1999,26,2,2,27,63,1,0,4,4,26,0,0,0,0,0,0,0
86,"
Mike Alstott
",FB,6-1,248lb,2000,27,1,1,7,42,0,0,2,2,14,0,0,0,0,0,0,0
87,"
Mike Alstott
",FB,6-1,248lb,2001,28,1,1,12,32,0,0,6,5,32,0,0,0,0,0,0,0
88,"
Mike Alstott
",FB,6-1,248lb,2002,29,3,1,44,100,4,0,14,8,70,0,0,0,0,0,0,0
89,"
Mike Alstott
",FB,6-1,248lb,2005,32,1,0,4,15,0,0,2,1,7,0,0,0,0,0,0,0
90,"
C.J. Anderson
",RB,5-8,225lb,2013,22,5,0,7,38,0,0,1,0,0,0,0,0,0,0,0,0
91,"
C.J. Anderson
",RB,5-8,225lb,2014,23,15,7,179,849,8,1,44,34,324,2,0,0,0,0,0,0
92,"
C.J. Anderson
",RB,5-8,225lb,2015,24,15,6,152,720,5,2,36,25,183,0,0,0,0,0,0,0
93,"
C.J. Anderson
",RB,5-8,225lb,2016,25,7,7,110,437,4,0,24,16,128,1,0,0,0,0,0,0
94,"
C.J. Anderson
",RB,5-8,225lb,2017,26,16,16,245,1007,3,1,40,28,224,1,0,0,0,0,0,0
95,"
C.J. Anderson
",RB,5-8,225lb,2018,27,11,3,67,403,2,0,9,5,41,1,0,0,0,0,0,0
96,"
C.J. Anderson
",RB,5-8,225lb,2018,,9,1,24,104,0,0,3,1,24,1,0,0,0,0,0,0
97,"
C.J. Anderson
",RB,5-8,225lb,2018,,2,2,43,299,2,0,6,4,17,0,0,0,0,0,0,0
98,"
C.J. Anderson
",RB,5-8,225lb,2019,28,2,0,16,43,0,0,,,,0,0,0,0,0,0,0
99,"
C.J. Anderson
",RB,5-8,225lb,2013,22,1,0,2,9,0,0,1,1,14,0,0,0,0,0,0,0
100,"
C.J. Anderson
",RB,5-8,225lb,2014,23,1,1,18,80,0,0,6,6,29,0,0,0,0,0,0,0
101,"
C.J. Anderson
",RB,5-8,225lb,2015,24,3,1,54,234,2,0,10,9,39,0,0,0,0,0,0,0
102,"
C.J. Anderson
",RB,5-8,225lb,2018,27,3,0,46,189,2,1,5,3,17,0,0,0,0,0,0,0
103,"
Damien Anderson
",RB,5-11,212lb,2002,23,10,1,24,65,0,0,7,3,36,0,0,0,0,0,0,0
104,"
Damien Anderson
",RB,5-11,212lb,2003,24,16,0,18,68,0,0,12,6,36,0,0,0,0,0,0,0
